time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
4800,51.5197982788086,5.86039018630981,16.0104992,16.1745412,96.078338704428,112.25287990443,0,0.027669381942,2.13865492408,7.148458234,26,5,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0,0,318.7,-2.6,8,0,0,1024,1689,1024,1024,0,100,0,0,318.62,0,112.25287990443,16.0104992,5,GPS_Blake
5000,51.5197982788086,5.86039066314697,15.9776908,16.1089244,96.111147104428,112.22007150443,0,0.80754876164,2.05766738868,7.2566931456,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0,0,318.7,-3,10.8,0,0,1024,1024,1024,1024,0,0,0,0,318.62,0,112.22007150443,15.9776908,5,GPS_Blake
5200,51.5197982788086,5.86039161682129,15.9776908,16.1089244,96.111147104428,112.22007150443,0,1.52656391196,1.90384192444,7.4732285856,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0.223694,0,318.9,-3.3,6,0,0,1024,1024,1024,1024,0,0,0,0,318.63,0,112.22007150443,15.9776908,5,GPS_Blake
5400,51.5197982788086,5.86039352416992,15.9776908,16.0433076,96.176763904428,112.22007150443,0,1.43052536694,1.63923561676,7.9062338488,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0.223694,0,329.3,-3.8,-8.1,0,0,1024,682,1024,1024,0,-52,0,0,318.63,0,112.22007150443,15.9776908,5,GPS_Blake
5600,51.5198020935059,5.8603949546814,15.9776908,16.0104992,96.209572304428,112.22007150443,0,0.87637045768,0.54126970236,9.3354005612,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0,0,329.3,-1.4,-6.4,0,0,1024,359,1024,1024,0,-100,0,0,329.87,0,112.22007150443,15.9776908,5,GPS_Blake
5800,51.5198020935059,5.86039590835571,15.9448824,15.9448824,96.242380704428,112.18726310443,0,0.21683330502,0.324762477584,9.5519031928,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0,0,329.7,-2.1,-13,0,0,1024,359,1024,1024,0,-100,0,0,329.87,0,112.18726310443,15.9448824,5,GPS_Blake
6000,51.5197982788086,5.86039590835571,15.9448824,15.9776908,96.209572304428,112.18726310443,0,1.32393070206,1.42917655492,10.9437011376,26,4,112.25287990443,16.0104992,2.19796579438,2.13865492408,0,0,0,329.4,-3.6,-17,0,0,1024,1024,1024,1024,0,0,0,0,329.87,0,112.18726310443,15.9448824,5,GPS_Blake
6200,51.5197982788086,5.86039447784424,15.9776908,16.0433076,96.176763904428,112.22007150443,0,2.407282981,1.5358924376,11.2684714892,26,4,112.25287990443,16.0104992,2.407282981,2.13865492408,-0.223694,-0.223694,0,329.3,-4.4,-15.4,0,0,1024,1024,1024,1024,0,0,0,0,329.87,0,112.22007150443,15.9776908,5,GPS_Blake
6400,51.5197982788086,5.86039209365845,15.9776908,16.1089244,96.111147104428,112.22007150443,0,2.5130455042,1.83168641032,11.8097444724,26,4,112.25287990443,16.0104992,2.5130455042,2.13865492408,-0.223694,-0.223694,0,329.3,-4.3,10.1,0,0,1024,1024,1024,1024,0,0,0,0,329.87,0,112.22007150443,15.9776908,5,GPS_Blake
6600,51.5197982788086,5.86039018630981,15.9776908,16.1417328,96.078338704428,112.22007150443,0,1.45599292884,2.13865492408,12.2427497356,26,4,112.25287990443,16.0104992,2.5130455042,2.13865492408,0,-0.223694,0,329.6,-4.1,11.6,0,0,1024,1024,1024,1024,0,0,0,0,329.85,0,112.22007150443,15.9776908,5,GPS_Blake
